,Year,State,County,Deaths,Population,Mortality Rate
556,2009,NM,Otero County,15.0,62462.0,0.0002401460087733342
557,2009,NM,Rio Arriba County,19.0,40023.0,0.00047472703195662494
558,2009,NM,San Juan County,15.0,129359.0,0.00011595636948337572
559,2009,NM,Sandoval County,19.0,128985.0,0.00014730395007171376
560,2009,NM,Santa Fe County,20.0,143205.0,0.00013965992807513704
561,2009,NM,Valencia County,14.0,75770.0,0.00018476969776956578
562,2010,NM,Bernalillo County,184.0,663923.0,0.00027714057202416544
563,2010,NM,Dona Ana County,27.0,,
564,2010,NM,Eddy County,16.0,53909.0,0.00029679645328238325
565,2010,NM,Lea County,11.0,64598.0,0.00017028390971856713
566,2010,NM,Rio Arriba County,18.0,40286.0,0.00044680534180608646
567,2010,NM,San Juan County,13.0,130203.0,9.984408961391059e-05
568,2010,NM,Sandoval County,16.0,132431.0,0.00012081763333358503
569,2010,NM,Santa Fe County,27.0,144522.0,0.00018682276746792876
570,2010,NM,Valencia County,18.0,76800.0,0.000234375
571,2011,NM,Bernalillo County,199.0,670283.0,0.00029688952278366005
572,2011,NM,Chaves County,16.0,65720.0,0.00024345709068776628
573,2011,NM,Dona Ana County,26.0,,
574,2011,NM,Lea County,14.0,65126.0,0.00021496790836225165
575,2011,NM,Otero County,11.0,65642.0,0.00016757563754913013
576,2011,NM,Rio Arriba County,27.0,40244.0,0.0006709074644667528
577,2011,NM,San Juan County,19.0,129711.0,0.00014647948130844723
578,2011,NM,San Miguel County,13.0,29352.0,0.0004428999727446171
579,2011,NM,Sandoval County,25.0,134326.0,0.00018611437845242172
580,2011,NM,Santa Fe County,36.0,145847.0,0.0002468340109841135
581,2011,NM,Valencia County,22.0,76960.0,0.0002858627858627859
582,2012,NM,Bernalillo County,190.0,673615.0,0.0002820602272811621
583,2012,NM,Chaves County,10.0,65765.0,0.0001520565650421957
584,2012,NM,Dona Ana County,31.0,,
585,2012,NM,Otero County,12.0,66208.0,0.00018124697921701304
586,2012,NM,Rio Arriba County,30.0,40195.0,0.0007463614877472322
587,2012,NM,San Juan County,21.0,129756.0,0.00016184222694904282
588,2012,NM,San Miguel County,10.0,29091.0,0.0003437489257846069
589,2012,NM,Sandoval County,21.0,135380.0,0.00015511892450879007
590,2012,NM,Santa Fe County,34.0,146722.0,0.00023173075612382602
591,2012,NM,Taos County,11.0,32759.0,0.0003357855856405873
592,2012,NM,Valencia County,11.0,76789.0,0.00014324968419955983
593,2013,NM,Bernalillo County,147.0,676326.0,0.00021735080419797554
594,2013,NM,Chaves County,11.0,66009.0,0.0001666439424926904
595,2013,NM,Dona Ana County,23.0,,
596,2013,NM,Lea County,13.0,68613.0,0.00018946846807456314
597,2013,NM,Rio Arriba County,28.0,40064.0,0.0006988817891373802
598,2013,NM,San Juan County,15.0,129467.0,0.00011585963990823917
599,2013,NM,Sandoval County,20.0,136311.0,0.00014672330186118508
600,2013,NM,Santa Fe County,40.0,147465.0,0.0002712508052758282
601,2013,NM,Valencia County,14.0,76491.0,0.0001830280686616726
602,2014,NM,Bernalillo County,193.0,675957.0,0.0002855211204262993
603,2014,NM,Dona Ana County,33.0,,
604,2014,NM,Eddy County,14.0,56682.0,0.00024699199040259696
605,2014,NM,Lea County,11.0,70165.0,0.00015677332003135466
606,2014,NM,Otero County,15.0,65336.0,0.00022958246602179503
607,2014,NM,Rio Arriba County,39.0,39736.0,0.000981477753170928
608,2014,NM,San Juan County,22.0,129084.0,0.00017043165690558087
609,2014,NM,Sandoval County,29.0,137023.0,0.00021164330075972647
610,2014,NM,Santa Fe County,37.0,147782.0,0.0002503687864557253
611,2014,NM,Valencia County,20.0,75892.0,0.00026353238813050123
612,2015,NM,Bernalillo County,197.0,676248.0,0.0002913132460280844
613,2015,NM,Chaves County,10.0,65825.0,0.0001519179642992784
614,2015,NM,Dona Ana County,33.0,,
615,2015,NM,Eddy County,17.0,57715.0,0.0002945508100147275
616,2015,NM,Otero County,11.0,64768.0,0.00016983695652173913
617,2015,NM,Rio Arriba County,26.0,39370.0,0.0006604013208026416
618,2015,NM,San Juan County,12.0,128246.0,9.357016982985824e-05
619,2015,NM,Sandoval County,21.0,138521.0,0.00015160156221800304
620,2015,NM,Santa Fe County,40.0,148098.0,0.0002700914259476833
621,2015,NM,Valencia County,10.0,75661.0,0.0001321684883889983
